model,fold,rmse,mae,r2,bias
RothC,0,3.868059526247779,3.829794406890869,-0.7960312366485596,-3.06781005859375
RF,0,0.44118126247464756,0.2014570762316385,0.9766352163372866,0.16628901783625286
XGB,0,0.19926492305558097,0.10922649502754211,0.9952335953712463,-0.009349437430500984
MLP,0,0.3882163363868936,0.3403758108615875,0.9819085001945496,0.3325360417366028
GP,0,0.016932303797899593,0.01361872237521311,0.9999655840509715,0.01248463689195584
RothC,1,3.6360905122056106,3.6053500175476074,0.48290276527404785,0.14066606760025024
RF,1,0.2185335991736665,0.1421330616474151,0.9981321617378329,-0.07261452778180436
XGB,1,0.09086757373637534,0.05223485454916954,0.9996770620346069,-0.03153737261891365
MLP,1,0.4755273426469701,0.3652814030647278,0.9911559224128723,-0.243587464094162
GP,1,0.03856193788840289,0.03486224808037453,0.9999418405176866,-0.008332782654133553
RothC,2,5.083236047199446,4.7672834396362305,0.014602363109588623,-2.6124653816223145
RF,2,1.4037136037094913,0.46527362542226924,0.9248570977555315,-0.32190799092873934
XGB,2,1.516819355513415,0.4741191864013672,0.9122598171234131,-0.22214463353157043
MLP,2,1.1542159566900987,0.9024863243103027,0.949195146560669,-0.5445421934127808
GP,2,0.07946817511854717,0.05185102805777049,0.999759166205951,-0.011422879276454398
RothC,3,4.979804834731638,4.402416229248047,0.31174236536026,1.1891262531280518
RF,3,0.8549453956218034,0.3623208620237267,0.9797136839647703,-0.33687234712683634
XGB,3,4.273708634780232,1.6067249774932861,0.49308377504348755,-1.5996962785720825
MLP,3,0.7119896198464367,0.4110371172428131,0.9859306812286377,-0.11425135284662247
GP,3,0.05872973578418059,0.03900532381620629,0.9999042712196893,-0.02950320239478574
RothC,4,3.6107423512552703,3.56848406791687,0.36423665285110474,1.163049578666687
RF,4,0.3678397223119945,0.1665204443381383,0.9934018865934391,-0.0568425935048323
XGB,4,0.35460272292583256,0.1808987706899643,0.9938682317733765,-0.12603014707565308
MLP,4,0.3070382013092151,0.21945491433143616,0.9954028725624084,0.14015285670757294
GP,4,0.026043128840786283,0.0203854348537089,0.9999669258385049,0.010608502352239996
