feature,importance_rf,importance_gnn,combined_score
slope,1.510914689898292,0.04715691,0.779035800620814
worldcover,1.4181416042684851,0.061536506,0.7398390550434261
silt_15-30,0.7533143907819745,0.03560211,0.39445825107567295
twi,0.48899043603718495,0.072139725,0.28056508056312907
silt_5-15,0.389793183317714,0.01989354,0.20484336169358744
ndvi,0.3508616049568306,0.0310846,0.1909731028964346
bd_0_30,0.32279188624437566,0.04829813,0.1855450089594519
cec_15-30,0.32541780436470885,0.018446477,0.17193214074738214
sand_15-30,0.28997477701234053,0.051516928,0.1707458523955307
B4,0.2037389700214524,0.06248266,0.1331108143975565
bd_5-15,0.2157465387553075,0.046123262,0.13093490062505497
ph_0-5,0.21503957566771403,0.046093885,0.13056673026161142
bd_15-30,0.21079713770034567,0.033961643,0.1223793901169432
evi,0.16804016434272345,0.04382994,0.10593505230109004
sand_0_30,0.1583916105857928,0.0458065,0.10209905582325852
clay_0_30,0.1464915359688387,0.035290092,0.09089081409934092
cec_5-15,0.16156749737510598,0.019812953,0.09069022505109268
B8,0.13087846982464638,0.048530504,0.08970448696606083
silt_0_30,0.1413051768065637,0.035519913,0.08841254482274978
sand_5-15,0.15198168575093537,0.024111476,0.0880465807732214
ph_0_30,0.13531084770216287,0.037187763,0.08624930513031155
ndmi,0.1028859380073602,0.06626075,0.08457334280944144
cec_0-5,0.08147851862886955,0.051200405,0.06633946169604565
soc_0_30,0.08968361708915772,0.040577486,0.06513055162328751
bsi,0.06481003265411987,0.043908484,0.05435925846711464
ph_5-15,0.0771547472274798,0.030354803,0.053754775327766825
ph_15-30,0.08623517805624284,0.021027936,0.05363155686253447
y,0.018318019450772122,0.07325695,0.04578748327546731
x,0.008772133902937984,0.0767435,0.04275781617374759
B12,0.001441846911473111,0.07515241,0.038297129484198014
tri,0.025663790768753914,0.044196725,0.034930257830208256
B2,0.007111173978648075,0.05870018,0.03290567776123757
tpi,0.008028233105691906,0.057385452,0.032706842598692894
sand_0-5,0.010318023266000115,0.048965875,0.02964194916268317
clay_0-5,0.01042442426412006,0.048077084,0.029250754194104174
clay_5-15,0.004607916749522833,0.049444318,0.027026117283605412
cec_0_30,0.0014899432783296587,0.04801056,0.024750252446779156
soc_rothc,0.0024072858841651546,0.045541834,0.023974559985172443
clay_15-30,0.0011289741442996335,0.046605203,0.023867088722507063
B11,0.000783406820878602,0.040870685,0.020827045975618172
aspect,0.007844709621785916,0.03190952,0.01987711564546766
silt_0-5,0.0013314043340300976,0.03804061,0.019686006250839206
B3,0.01015600031319961,0.028994773,0.01957538644822292
bd_0-5,0.00042816932305331674,0.0366863,0.0185572352772188
dem,0.002329830835274749,0.029720634,0.016025232528652695
savi,0.002469658122189884,0.028738942,0.01560430005973977
soc_15-30,0.0009654013181136617,0.021570036,0.011267718752940822
soc_0-5,0.0010060286255977862,0.019990973,0.01049850090008489
soc_5-15,0.00010168601746327773,0.019890757,0.009996221647535598
