feature,importance
x,0.0767435
B12,0.07515241
y,0.07325695
twi,0.072139725
ndmi,0.06626075
B4,0.06248266
worldcover,0.061536506
B2,0.05870018
tpi,0.057385452
sand_15-30,0.051516928
cec_0-5,0.051200405
clay_5-15,0.049444318
sand_0-5,0.048965875
B8,0.048530504
bd_0_30,0.04829813
clay_0-5,0.048077084
cec_0_30,0.04801056
slope,0.04715691
clay_15-30,0.046605203
bd_5-15,0.046123262
ph_0-5,0.046093885
sand_0_30,0.0458065
soc_rothc,0.045541834
tri,0.044196725
bsi,0.043908484
evi,0.04382994
B11,0.040870685
soc_0_30,0.040577486
silt_0-5,0.03804061
ph_0_30,0.037187763
bd_0-5,0.0366863
silt_15-30,0.03560211
silt_0_30,0.035519913
clay_0_30,0.035290092
bd_15-30,0.033961643
aspect,0.03190952
ndvi,0.0310846
ph_5-15,0.030354803
dem,0.029720634
B3,0.028994773
savi,0.028738942
sand_5-15,0.024111476
soc_15-30,0.021570036
ph_15-30,0.021027936
soc_0-5,0.019990973
silt_5-15,0.01989354
soc_5-15,0.019890757
cec_5-15,0.019812953
cec_15-30,0.018446477
