x,y,soc_observed,soc_rothc,residual_soc,site_id
768941.6094531971,1457717.967011131,10.333333,6.193496828135346,4.139836171864654,site_0000
769191.7557263334,1457717.967011131,9.333333,6.11677656763961,3.21655643236039,site_0001
769441.9019994696,1457717.967011131,0.0,3.3053081193082994,-3.3053081193082994,site_0002
769692.0482726059,1457717.967011131,0.0,3.3053081193082994,-3.3053081193082994,site_0003
769942.1945457421,1457717.967011131,0.0,3.3053081193082994,-3.3053081193082994,site_0004
770192.3408188784,1457717.967011131,0.0,3.3053081193082994,-3.3053081193082994,site_0005
770442.4870920145,1457717.967011131,1.1666666,5.379693460496075,-4.2130268604960746,site_0006
770692.6333651508,1457717.967011131,11.5,6.284312375372739,5.215687624627261,site_0007
770942.779638287,1457717.967011131,11.0,6.245226626928801,4.754773373071199,site_0008
771192.9259114233,1457717.967011131,10.5,6.206386992605875,4.293613007394125,site_0009
771443.0721845595,1457717.967011131,10.0,6.167803537167182,3.832196462832818,site_0010
768941.6094531971,1457458.5100826677,9.833333,6.155001160076559,3.678331839923441,site_0011
769191.7557263334,1457458.5100826677,10.166667,6.180635592070326,3.9860314079296746,site_0012
769441.9019994696,1457458.5100826677,0.0,3.3053081193082994,-3.3053081193082994,site_0013
769692.0482726059,1457458.5100826677,0.0,3.3053081193082994,-3.3053081193082994,site_0014
769942.1945457421,1457458.5100826677,0.0,3.3053081193082994,-3.3053081193082994,site_0015
770192.3408188784,1457458.5100826677,0.0,3.3053081193082994,-3.3053081193082994,site_0016
770442.4870920145,1457458.5100826677,0.0,3.5317101394103587,-3.5317101394103587,site_0017
770692.6333651508,1457458.5100826677,0.16666667,4.580276600665974,-4.413609930665975,site_0018
770942.779638287,1457458.5100826677,1.6666666,5.54372015487528,-3.87705355487528,site_0019
771192.9259114233,1457458.5100826677,10.666667,6.219305613970565,4.447361386029435,site_0020
771443.0721845595,1457458.5100826677,10.5,6.206386992498785,4.293613007501215,site_0021
768941.6094531971,1457199.0531542036,9.833333,6.1550011598975995,3.6783318401024,site_0022
769191.7557263334,1457199.0531542036,10.333333,6.193496828017785,4.139836171982215,site_0023
769441.9019994696,1457199.0531542036,9.0,6.091450229219825,2.9085497707801746,site_0024
769692.0482726059,1457199.0531542036,0.0,3.3053081193082994,-3.3053081193082994,site_0025
769942.1945457421,1457199.0531542036,0.0,3.3053081193082994,-3.3053081193082994,site_0026
770192.3408188784,1457199.0531542036,0.0,3.3053081193082994,-3.3053081193082994,site_0027
770442.4870920145,1457199.0531542036,0.0,3.3053081193082994,-3.3053081193082994,site_0028
770692.6333651508,1457199.0531542036,1.1666666,5.366339305603389,-4.199672705603389,site_0029
770942.779638287,1457199.0531542036,10.166667,6.180635591977489,3.9860314080225114,site_0030
771192.9259114233,1457199.0531542036,10.666667,6.219305614117257,4.447361385882743,site_0031
771443.0721845595,1457199.0531542036,10.666667,6.21930561401553,4.44736138598447,site_0032
768941.6094531971,1456939.5962257397,10.333333,6.193496827976753,4.139836172023247,site_0033
769191.7557263334,1456939.5962257397,10.333333,6.193496827993813,4.139836172006187,site_0034
769441.9019994696,1456939.5962257397,10.5,6.206386992685307,4.293613007314693,site_0035
769692.0482726059,1456939.5962257397,0.0,3.3053081193082994,-3.3053081193082994,site_0036
769942.1945457421,1456939.5962257397,0.0,3.3053081193082994,-3.3053081193082994,site_0037
770192.3408188784,1456939.5962257397,0.0,3.3053081193082994,-3.3053081193082994,site_0038
770442.4870920145,1456939.5962257397,0.0,3.3053081193082994,-3.3053081193082994,site_0039
770692.6333651508,1456939.5962257397,1.1666666,5.366339305603389,-4.199672705603389,site_0040
770942.779638287,1456939.5962257397,10.5,6.206386992816597,4.293613007183403,site_0041
771192.9259114233,1456939.5962257397,10.5,6.20638699276863,4.29361300723137,site_0042
771443.0721845595,1456939.5962257397,10.5,6.206386992699657,4.293613007300343,site_0043
768941.6094531971,1456680.1392972758,11.0,6.245226627014683,4.754773372985317,site_0044
769191.7557263334,1456680.1392972758,10.666667,6.219305614151604,4.447361385848397,site_0045
769441.9019994696,1456680.1392972758,10.666667,6.2193056141373235,4.447361385862677,site_0046
769692.0482726059,1456680.1392972758,0.0,3.3053081193082994,-3.3053081193082994,site_0047
769942.1945457421,1456680.1392972758,0.0,3.3053081193082994,-3.3053081193082994,site_0048
770192.3408188784,1456680.1392972758,0.0,3.3053081193082994,-3.3053081193082994,site_0049
770442.4870920145,1456680.1392972758,1.6666666,5.098385461961853,-3.431718861961853,site_0050
770692.6333651508,1456680.1392972758,21.0,7.06451022644116,13.935489773558839,site_0051
770942.779638287,1456680.1392972758,11.5,6.284312375666783,5.215687624333217,site_0052
771192.9259114233,1456680.1392972758,11.666667,6.297394056842279,5.369272943157721,site_0053
771443.0721845595,1456680.1392972758,12.0,6.323634991099644,5.676365008900356,site_0054
768941.6094531971,1456420.682368812,11.333333,6.271257006914824,5.062075993085176,site_0055
769191.7557263334,1456420.682368812,10.5,6.2063869927667445,4.2936130072332555,site_0056
769441.9019994696,1456420.682368812,1.5,5.491293309772145,-3.9912933097721446,site_0057
769692.0482726059,1456420.682368812,0.0,3.3053081193082994,-3.3053081193082994,site_0058
769942.1945457421,1456420.682368812,0.0,3.3053081193082994,-3.3053081193082994,site_0059
770192.3408188784,1456420.682368812,1.1666666,4.6702025562971,-3.5035359562970996,site_0060
770942.779638287,1456420.682368812,11.166667,6.258228362493654,4.908438637506347,site_0061
771192.9259114233,1456420.682368812,11.166667,6.258228362488351,4.908438637511649,site_0062
771443.0721845595,1456420.682368812,11.0,6.245226627216211,4.754773372783789,site_0063
768941.6094531971,1456161.225440348,10.5,6.206386992396268,4.293613007603732,site_0064
769191.7557263334,1456161.225440348,10.166667,6.180635592041127,3.9860314079588735,site_0065
769441.9019994696,1456161.225440348,0.0,3.62044184932889,-3.62044184932889,site_0066
769692.0482726059,1456161.225440348,0.0,3.3053081193082994,-3.3053081193082994,site_0067
769942.1945457421,1456161.225440348,0.0,3.3053081193082994,-3.3053081193082994,site_0068
770192.3408188784,1456161.225440348,0.0,3.5317101394103587,-3.5317101394103587,site_0069
770442.4870920145,1456161.225440348,3.5,5.669288023351535,-2.169288023351535,site_0070
770692.6333651508,1456161.225440348,12.333333,6.349977396474983,5.983355603525017,site_0071
770942.779638287,1456161.225440348,11.166667,6.2582283625290955,4.908438637470905,site_0072
771192.9259114233,1456161.225440348,11.166667,6.258228362525809,4.908438637474191,site_0073
771443.0721845595,1456161.225440348,11.166667,6.25822836250928,4.90843863749072,site_0074
768941.6094531971,1455901.768511884,10.0,6.167803536798243,3.8321964632017567,site_0075
769191.7557263334,1455901.768511884,10.0,6.167803536870348,3.8321964631296517,site_0076
769441.9019994696,1455901.768511884,0.0,3.8355949221820094,-3.8355949221820094,site_0077
769692.0482726059,1455901.768511884,0.0,3.3053081193082994,-3.3053081193082994,site_0078
769942.1945457421,1455901.768511884,0.0,3.3053081193082994,-3.3053081193082994,site_0079
770192.3408188784,1455901.768511884,0.0,4.227133698186554,-4.227133698186554,site_0080
770442.4870920145,1455901.768511884,8.666667,6.066253901491852,2.600413098508148,site_0081
770692.6333651508,1455901.768511884,10.166667,6.180635592302106,3.9860314076978947,site_0082
770942.779638287,1455901.768511884,10.666667,6.219305614252314,4.447361385747686,site_0083
771192.9259114233,1455901.768511884,10.833333,6.232252231331531,4.601080768668469,site_0084
771443.0721845595,1455901.768511884,10.833333,6.232252231332096,4.601080768667904,site_0085
768941.6094531971,1455642.3115834205,9.5,6.1294872592916905,3.3705127407083095,site_0086
769191.7557263334,1455642.3115834205,2.3333333,5.608117350247775,-3.2747840502477747,site_0087
769441.9019994696,1455642.3115834205,0.0,3.4718883486131262,-3.4718883486131262,site_0088
769692.0482726059,1455642.3115834205,0.0,3.3053081193082994,-3.3053081193082994,site_0089
769942.1945457421,1455642.3115834205,0.0,3.3053081193082994,-3.3053081193082994,site_0090
770192.3408188784,1455642.3115834205,0.0,3.4418051109429477,-3.4418051109429477,site_0091
770442.4870920145,1455642.3115834205,1.8333334,5.569379658823272,-3.736046258823272,site_0092
770692.6333651508,1455642.3115834205,10.166667,6.180635592300251,3.986031407699749,site_0093
770942.779638287,1455642.3115834205,10.666667,6.2193056142445045,4.447361385755496,site_0094
771192.9259114233,1455642.3115834205,10.666667,6.21930561421817,4.44736138578183,site_0095
771443.0721845595,1455642.3115834205,11.166667,6.258228362517035,4.908438637482965,site_0096
768941.6094531971,1455382.8546549564,1.8333334,5.570179125879098,-3.736845725879098,site_0097
769191.7557263334,1455382.8546549564,0.0,3.6933141762522936,-3.6933141762522936,site_0098
769441.9019994696,1455382.8546549564,0.0,3.3053081193082994,-3.3053081193082994,site_0099
769692.0482726059,1455382.8546549564,0.0,3.3053081193082994,-3.3053081193082994,site_0100
769942.1945457421,1455382.8546549564,0.0,3.3053081193082994,-3.3053081193082994,site_0101
770192.3408188784,1455382.8546549564,0.0,3.3053081193082994,-3.3053081193082994,site_0102
770442.4870920145,1455382.8546549564,0.0,4.388405340068384,-4.388405340068384,site_0103
770692.6333651508,1455382.8546549564,9.833333,6.1550011602381005,3.678331839761899,site_0104
770942.779638287,1455382.8546549564,9.833333,6.1550011602624295,3.67833183973757,site_0105
771192.9259114233,1455382.8546549564,9.833333,6.155001160248447,3.6783318397515528,site_0106
771443.0721845595,1455382.8546549564,10.666667,6.219305614253462,4.447361385746539,site_0107
768941.6094531971,1455123.3977264925,0.0,3.3053081193082994,-3.3053081193082994,site_0108
769191.7557263334,1455123.3977264925,0.0,3.3053081193082994,-3.3053081193082994,site_0109
769441.9019994696,1455123.3977264925,0.0,3.3053081193082994,-3.3053081193082994,site_0110
769692.0482726059,1455123.3977264925,0.0,3.3053081193082994,-3.3053081193082994,site_0111
769942.1945457421,1455123.3977264925,0.0,3.3053081193082994,-3.3053081193082994,site_0112
770192.3408188784,1455123.3977264925,0.0,3.5317101394103587,-3.5317101394103587,site_0113
770442.4870920145,1455123.3977264925,8.166667,6.028712567872173,2.1379544321278274,site_0114
770692.6333651508,1455123.3977264925,9.833333,6.155001160185692,3.678331839814308,site_0115
770942.779638287,1455123.3977264925,9.833333,6.155001160257529,3.6783318397424702,site_0116
771192.9259114233,1455123.3977264925,9.833333,6.15500116023122,3.67833183976878,site_0117
771443.0721845595,1455123.3977264925,9.666667,6.14222897006287,3.52443802993713,site_0118
768941.6094531971,1454863.9407980286,16.833334,6.7144916867516375,10.118842313248363,site_0119
769191.7557263334,1454863.9407980286,1.1666666,4.679476841724354,-3.5128102417243543,site_0120
769441.9019994696,1454863.9407980286,0.0,3.3053081193082994,-3.3053081193082994,site_0121
769692.0482726059,1454863.9407980286,0.0,3.3053081193082994,-3.3053081193082994,site_0122
769942.1945457421,1454863.9407980286,0.0,3.3053081193082994,-3.3053081193082994,site_0123
770192.3408188784,1454863.9407980286,0.0,3.3053081193082994,-3.3053081193082994,site_0124
770442.4870920145,1454863.9407980286,9.833333,6.15500115973424,3.67833184026576,site_0125
770692.6333651508,1454863.9407980286,9.833333,6.1550011600075205,3.678331839992479,site_0126
770942.779638287,1454863.9407980286,9.833333,6.1550011600459715,3.678331839954028,site_0127
771192.9259114233,1454863.9407980286,10.166667,6.1806355922029566,3.986031407797044,site_0128
771443.0721845595,1454863.9407980286,9.833333,6.155001160239186,3.678331839760814,site_0129
768941.6094531971,1454604.4838695647,12.833333,6.389676156840868,6.443656843159132,site_0130
769191.7557263334,1454604.4838695647,16.333334,6.673241175451637,9.660092824548364,site_0131
769441.9019994696,1454604.4838695647,1.0,4.55374564233928,-3.5537456423392797,site_0132
769692.0482726059,1454604.4838695647,0.0,3.3053081193082994,-3.3053081193082994,site_0133
769942.1945457421,1454604.4838695647,0.0,3.3053081193082994,-3.3053081193082994,site_0134
770192.3408188784,1454604.4838695647,17.5,6.769757722514467,10.730242277485534,site_0135
770442.4870920145,1454604.4838695647,9.333333,6.11677656718538,3.2165564328146194,site_0136
770692.6333651508,1454604.4838695647,9.666667,6.1422289695308665,3.524438030469134,site_0137
770942.779638287,1454604.4838695647,9.166667,6.104097445621213,3.062569554378787,site_0138
771192.9259114233,1454604.4838695647,9.833333,6.15500115991915,3.6783318400808493,site_0139
771443.0721845595,1454604.4838695647,9.833333,6.1550011600235,3.6783318399765,site_0140
